Student_ID,Name,Gender,Age,Department,Attendance_Percentage,Study_Hours,Sleep_Hours,Internet_Usage_Hours,Previous_Grades,Family_Income,Parent_Education,Final_Exam_Marks,Result
STU0023,Christopher Davis,Male,21,Business Administration,75.5,1.0,6.5,2.7,77.8,Medium,High School,45.4,Fail
STU0024,Daniel Miller,Male,21,Mechanical Engineering,92.4,5.0,7.5,6.1,81.3,Medium,Associate's Degree,59.1,Pass
STU0025,Mark Taylor,Male,21,Electrical Engineering,63.7,4.0,5.7,4.0,72.6,Low,Bachelor's Degree,41.4,Fail
STU0026,Linda Gonzalez,Female,19,Electrical Engineering,91.4,1.4,7.3,2.5,88.5,High,Bachelor's Degree,47.4,Fail
STU0027,Paul Smith,Male,20,Mechanical Engineering,80.6,5.4,8.8,3.9,78.4,Medium,Bachelor's Degree,62.2,Pass
STU0028,Ashley Gonzalez,Female,22,Business Administration,95.4,3.0,4.4,4.5,81.0,High,Associate's Degree,38.0,Fail
STU0029,Karen Lopez,Female,20,Mechanical Engineering,82.0,10.0,5.2,2.5,94.8,High,Bachelor's Degree,86.5,Pass
STU0030,John Williams,Male,18,Business Administration,74.8,1.8,7.8,5.4,71.8,Medium,High School,29.6,Fail
STU0031,Karen Johnson,Female,21,Information Technology,85.1,2.3,8.6,4.2,91.0,Low,High School,53.3,Pass
STU0032,Matthew Gonzalez,Male,20,Mechanical Engineering,81.7,6.9,6.4,1.9,85.4,Medium,Bachelor's Degree,69.7,Pass
STU0033,Paul Williams,Male,22,Business Administration,73.9,4.7,4.6,4.8,66.6,Medium,Associate's Degree,48.6,Fail
STU0034,Susan Wilson,Female,18,Mechanical Engineering,100.0,6.9,8.7,2.9,81.6,Medium,Bachelor's Degree,66.2,Pass
STU0035,Michelle Taylor,Female,19,Mechanical Engineering,72.3,5.8,6.0,3.2,95.9,Medium,High School,52.9,Pass
STU0036,Nancy Thomas,Female,19,Business Administration,59.6,3.7,6.6,2.0,69.0,Medium,High School,32.9,Fail
STU0037,Daniel Anderson,Male,22,Business Administration,97.8,2.0,7.4,4.4,91.0,Low,Master's Degree,62.3,Pass
STU0038,Charles Miller,Male,18,Computer Science,76.2,7.4,6.2,3.3,86.5,Medium,Bachelor's Degree,70.6,Pass
STU0039,Michelle Jones,Female,21,Mechanical Engineering,79.0,2.2,5.9,4.5,77.8,Medium,Bachelor's Degree,48.9,Fail
STU0040,James Taylor,Male,20,Electrical Engineering,78.4,6.2,6.0,2.7,100.0,Medium,Master's Degree,71.7,Pass
STU0041,Robert Gonzalez,Male,18,Mechanical Engineering,76.3,7.0,9.2,2.5,72.0,Low,Bachelor's Degree,60.0,Pass
STU0042,Sandra Moore,Female,19,Mechanical Engineering,74.3,4.7,8.4,2.4,74.4,Medium,Bachelor's Degree,53.2,Pass
STU0043,Michael Moore,Male,22,Business Administration,72.0,4.3,7.7,4.1,80.7,Low,Bachelor's Degree,54.6,Pass
STU0044,Elizabeth Thomas,Female,22,Mechanical Engineering,82.6,2.8,4.4,2.5,100.0,Medium,High School,45.2,Fail
STU0045,James Wilson,Male,20,Mechanical Engineering,78.0,6.0,7.7,3.2,83.7,Medium,Associate's Degree,61.0,Pass
STU0046,Margaret Rodriguez,Female,22,Electrical Engineering,89.3,1.0,7.6,2.7,82.3,Low,Bachelor's Degree,62.2,Pass
STU0047,Mark Taylor,Male,22,Business Administration,86.8,6.6,5.5,4.2,82.6,Medium,Associate's Degree,61.8,Pass
STU0048,Linda Lopez,Female,18,Mechanical Engineering,72.7,5.3,7.3,1.0,85.9,Medium,Associate's Degree,50.9,Pass
STU0049,Elizabeth Jones,Female,21,Information Technology,83.1,4.5,8.3,3.9,80.1,Low,Associate's Degree,50.6,Pass
STU0050,Christopher Garcia,Male,20,Computer Science,77.8,5.5,7.7,6.1,90.2,Low,High School,51.4,Pass
STU0051,Susan Wilson,Female,18,Electrical Engineering,72.1,2.0,6.2,5.4,86.0,High,High School,46.0,Fail
STU0052,Lisa Gonzalez,Female,21,Mechanical Engineering,88.9,1.0,7.0,2.6,77.2,Medium,High School,38.7,Fail
STU0053,Patricia Miller,Female,18,Information Technology,80.8,6.0,7.9,4.2,73.1,High,High School,58.6,Pass
STU0054,Michelle Brown,Female,18,Mechanical Engineering,77.9,7.9,7.1,4.0,87.1,Medium,Associate's Degree,65.9,Pass
STU0055,Jessica Martin,Female,22,Mechanical Engineering,73.4,1.2,8.5,5.7,91.5,Medium,Bachelor's Degree,47.2,Fail
STU0056,Donna Gonzalez,Female,21,Business Administration,71.7,2.7,7.5,1.0,70.7,Medium,High School,41.5,Fail
STU0057,Anthony Martinez,Male,20,Business Administration,100.0,6.7,7.9,5.2,91.4,Medium,Master's Degree,77.6,Pass
STU0058,Christopher Johnson,Male,20,Business Administration,85.3,5.8,8.0,3.1,72.7,Low,Master's Degree,70.0,Pass
STU0059,Thomas Taylor,Male,21,Information Technology,71.1,10.0,5.7,2.4,77.3,Medium,Bachelor's Degree,65.4,Pass
STU0060,Robert Garcia,Male,22,Mechanical Engineering,84.9,7.4,7.1,2.3,99.6,Medium,Bachelor's Degree,80.5,Pass
STU0061,William Jones,Male,19,Computer Science,92.6,6.8,6.6,1.6,94.0,Low,Associate's Degree,56.5,Pass
STU0062,Mark Taylor,Male,18,Electrical Engineering,83.7,3.3,8.3,2.6,85.0,Low,High School,47.8,Fail
STU0063,Sarah Williams,Female,22,Business Administration,95.7,6.2,7.6,1.9,63.6,Low,Master's Degree,63.8,Pass
STU0064,Joshua Taylor,Male,21,Business Administration,66.6,8.3,6.8,3.8,79.4,Medium,High School,59.1,Pass
STU0065,Charles Williams,Male,18,Mechanical Engineering,62.1,4.6,5.5,4.4,85.9,Medium,Master's Degree,44.6,Fail
STU0066,Emily Moore,Female,20,Mechanical Engineering,84.6,4.7,5.1,3.1,68.8,High,Bachelor's Degree,53.9,Pass
STU0067,Steven Williams,Male,19,Information Technology,84.8,5.3,7.4,5.7,80.5,Low,Associate's Degree,64.5,Pass
STU0068,Jennifer Garcia,Female,20,Information Technology,50.0,3.5,6.1,2.7,84.4,Low,Bachelor's Degree,42.7,Fail
STU0069,Matthew Anderson,Male,21,Business Administration,75.8,5.6,7.8,3.0,68.0,Medium,Bachelor's Degree,59.9,Pass
STU0070,Sarah Brown,Female,18,Mechanical Engineering,71.9,5.5,5.0,2.8,65.6,High,High School,54.2,Pass
STU0071,Sandra Jones,Female,21,Computer Science,68.1,8.3,8.9,4.4,70.2,Low,Associate's Degree,69.3,Pass
STU0072,John Hernandez,Male,18,Electrical Engineering,71.9,4.6,7.8,4.5,84.6,Medium,Bachelor's Degree,52.4,Pass
STU0073,Thomas Williams,Male,22,Mechanical Engineering,88.0,6.5,7.1,4.2,80.4,Medium,Bachelor's Degree,62.0,Pass
STU0074,Sarah Williams,Female,19,Mechanical Engineering,71.8,4.6,9.0,3.3,90.1,Low,High School,48.7,Fail
STU0075,Patricia Lopez,Female,22,Information Technology,72.2,6.4,8.1,1.5,84.7,Medium,Associate's Degree,65.9,Pass
STU0076,Karen Rodriguez,Female,22,Electrical Engineering,65.8,4.4,6.4,3.0,99.0,Low,Master's Degree,46.6,Fail
STU0077,Margaret Davis,Female,21,Business Administration,94.7,6.3,7.1,5.7,74.4,High,Bachelor's Degree,71.2,Pass
STU0078,William Hernandez,Male,19,Mechanical Engineering,86.3,6.6,4.6,5.0,89.2,Medium,Bachelor's Degree,63.9,Pass
STU0079,John Anderson,Male,18,Business Administration,57.1,2.7,8.3,3.9,68.9,Medium,PhD,42.2,Fail
STU0080,David Davis,Male,18,Mechanical Engineering,72.2,7.4,6.6,2.9,90.7,Medium,Associate's Degree,69.1,Pass
STU0081,Elizabeth Thomas,Female,20,Business Administration,87.3,4.6,4.6,3.5,84.8,Medium,Bachelor's Degree,60.1,Pass
STU0082,Emily Garcia,Female,18,Electrical Engineering,94.8,4.0,5.6,2.9,74.1,Medium,Master's Degree,61.6,Pass
STU0083,William Thomas,Male,21,Information Technology,90.4,3.4,8.0,5.3,81.1,Low,Bachelor's Degree,53.1,Pass
STU0084,Matthew Jones,Male,22,Electrical Engineering,78.4,5.7,8.9,2.2,84.3,Medium,Associate's Degree,61.1,Pass
STU0085,Matthew Taylor,Male,22,Computer Science,62.7,5.0,7.0,4.9,74.4,Low,High School,47.0,Fail
STU0086,Paul Davis,Male,22,Information Technology,90.7,5.8,5.8,2.7,92.8,Medium,Bachelor's Degree,73.0,Pass
STU0087,Betty Jackson,Female,19,Electrical Engineering,79.0,5.9,5.3,5.5,73.6,Low,Associate's Degree,51.8,Pass
STU0088,Jennifer Davis,Female,18,Computer Science,82.7,6.3,8.7,4.1,100.0,Medium,Master's Degree,74.9,Pass
STU0089,Patricia Davis,Female,21,Mechanical Engineering,80.2,10.0,7.5,2.4,98.6,Low,High School,82.8,Pass
STU0090,Matthew Gonzalez,Male,19,Mechanical Engineering,68.4,5.1,6.6,3.0,84.9,High,Associate's Degree,68.7,Pass
STU0091,James Garcia,Male,20,Business Administration,85.6,3.4,6.3,4.6,100.0,Medium,High School,53.1,Pass
STU0092,Donna Thomas,Female,21,Information Technology,84.3,1.0,7.8,2.8,75.8,Medium,Bachelor's Degree,54.1,Pass
STU0093,Jessica Smith,Female,21,Mechanical Engineering,77.7,2.4,7.8,3.5,85.6,High,Master's Degree,69.6,Pass
STU0094,Ashley Rodriguez,Female,21,Information Technology,86.7,7.7,5.9,2.7,89.5,Medium,Bachelor's Degree,69.0,Pass
STU0095,Betty Hernandez,Female,22,Mechanical Engineering,68.3,6.6,5.6,6.1,91.1,High,Master's Degree,65.2,Pass
STU0096,Betty Martinez,Female,21,Business Administration,79.3,2.0,5.7,6.4,94.3,Low,High School,40.0,Fail
STU0097,Linda Garcia,Female,18,Electrical Engineering,82.3,10.0,6.4,5.7,94.8,Medium,High School,79.4,Pass
STU0098,Richard Jones,Male,21,Business Administration,64.7,5.7,6.2,3.3,92.0,Medium,Master's Degree,53.1,Pass
STU0099,Christopher Gonzalez,Male,22,Computer Science,81.4,6.0,8.9,2.9,78.9,High,Master's Degree,63.5,Pass
STU0100,Andrew Martinez,Male,21,Mechanical Engineering,89.3,9.9,6.4,2.3,88.2,Low,Master's Degree,78.6,Pass
STU0101,Charles Hernandez,Male,20,Computer Science,79.0,8.8,5.5,5.8,100.0,High,Bachelor's Degree,75.8,Pass
STU0102,Susan Moore,Female,20,Computer Science,81.7,6.7,5.6,4.9,91.3,Medium,Associate's Degree,61.8,Pass
STU0103,Michael Johnson,Male,22,Information Technology,87.6,6.8,6.8,5.0,88.8,High,High School,66.1,Pass
STU0104,Sandra Gonzalez,Female,18,Mechanical Engineering,78.1,7.0,4.8,3.1,77.6,Medium,Master's Degree,65.8,Pass
STU0105,Nancy Miller,Female,18,Computer Science,79.0,4.5,6.9,1.0,91.9,Low,Associate's Degree,60.4,Pass
STU0106,John Gonzalez,Male,19,Electrical Engineering,70.2,5.6,5.4,1.2,74.4,Medium,Associate's Degree,63.9,Pass
STU0107,Anthony Taylor,Male,22,Computer Science,81.9,6.3,8.4,3.6,74.1,High,Bachelor's Degree,68.3,Pass
STU0108,Sarah Taylor,Female,21,Electrical Engineering,78.7,4.7,7.1,2.7,83.6,Medium,Associate's Degree,52.5,Pass
STU0109,Joseph Johnson,Male,22,Information Technology,87.0,2.9,9.5,2.5,57.5,Low,Master's Degree,40.9,Fail
STU0110,Matthew Williams,Male,19,Computer Science,87.6,4.4,7.1,4.0,89.5,Low,High School,53.2,Pass
STU0111,Donald Garcia,Male,22,Business Administration,89.9,2.8,4.0,5.0,85.6,Medium,Bachelor's Degree,49.3,Fail
STU0112,Andrew Miller,Male,22,Information Technology,76.9,5.1,8.7,2.4,79.1,Low,Bachelor's Degree,60.0,Pass
STU0113,Karen Rodriguez,Female,19,Electrical Engineering,60.2,1.1,7.6,1.5,72.7,Medium,Bachelor's Degree,41.3,Fail
STU0114,Patricia Anderson,Female,18,Information Technology,89.4,5.8,7.8,2.5,84.2,Medium,Bachelor's Degree,68.1,Pass
STU0115,Elizabeth Brown,Female,21,Computer Science,86.3,1.4,5.8,1.9,71.7,Medium,Associate's Degree,41.4,Fail
STU0116,Michelle Brown,Female,19,Mechanical Engineering,75.6,4.1,6.9,4.4,83.1,Low,Bachelor's Degree,56.7,Pass
STU0117,Emily Brown,Female,20,Mechanical Engineering,87.5,6.1,7.2,3.5,83.0,Medium,Bachelor's Degree,63.9,Pass
STU0118,Steven Lopez,Male,18,Electrical Engineering,67.5,6.7,6.7,6.3,84.3,Medium,Bachelor's Degree,54.4,Pass
STU0119,Kimberly Martinez,Female,20,Electrical Engineering,92.3,6.5,4.9,4.6,85.1,Medium,Associate's Degree,65.0,Pass
STU0120,Mary Moore,Female,18,Mechanical Engineering,78.7,5.7,10.0,6.2,80.1,Medium,High School,53.2,Pass
STU0121,Emily Wilson,Female,21,Electrical Engineering,73.7,2.5,8.0,1.4,81.8,Medium,High School,53.5,Pass
STU0122,Margaret Lopez,Female,21,Information Technology,75.8,7.2,7.5,1.0,92.8,Medium,Bachelor's Degree,61.0,Pass
STU0123,Michael Williams,Male,22,Business Administration,79.7,2.6,8.6,3.9,74.8,High,High School,46.0,Fail
STU0124,Joshua Lopez,Male,20,Business Administration,81.9,7.4,7.8,3.7,90.1,Medium,Master's Degree,74.8,Pass
STU0125,Richard Hernandez,Male,18,Information Technology,82.5,6.4,6.2,3.3,90.2,High,Bachelor's Degree,62.1,Pass
STU0126,James Garcia,Male,21,Business Administration,77.7,8.0,8.5,3.6,73.4,Medium,Bachelor's Degree,65.4,Pass
STU0127,Margaret Anderson,Female,19,Computer Science,84.0,5.1,8.0,1.8,93.5,Medium,Master's Degree,74.4,Pass
STU0128,Donna Hernandez,Female,21,Information Technology,82.1,3.2,6.2,4.3,100.0,Low,High School,61.8,Pass
STU0129,John Wilson,Male,19,Electrical Engineering,75.5,2.2,7.9,4.6,78.1,Medium,Master's Degree,54.5,Pass
STU0130,Patricia Brown,Female,18,Information Technology,74.0,2.4,6.7,1.7,77.3,Medium,Bachelor's Degree,46.5,Fail
STU0131,Steven Williams,Male,21,Mechanical Engineering,88.1,1.4,7.3,3.0,77.8,Low,Master's Degree,54.5,Pass
STU0132,Matthew Rodriguez,Male,21,Electrical Engineering,87.2,7.1,7.7,3.1,92.8,Medium,Master's Degree,80.6,Pass
STU0133,Richard Anderson,Male,18,Mechanical Engineering,82.6,7.3,8.6,2.5,91.3,Low,High School,61.7,Pass
STU0134,Christopher Martin,Male,21,Electrical Engineering,91.2,6.2,6.2,1.8,70.2,Medium,Associate's Degree,57.0,Pass
STU0135,Patricia Anderson,Female,19,Business Administration,62.4,4.9,7.4,3.5,71.6,Medium,Bachelor's Degree,52.0,Pass
STU0136,Anthony Martin,Male,21,Information Technology,76.4,9.5,9.4,3.9,92.9,Medium,Bachelor's Degree,69.9,Pass
STU0137,Lisa Williams,Female,20,Computer Science,70.4,4.8,6.8,2.6,79.9,High,Associate's Degree,55.8,Pass
STU0138,Kimberly Lopez,Female,22,Electrical Engineering,100.0,5.5,7.2,1.9,74.9,Medium,Associate's Degree,66.2,Pass
STU0139,Mark Thomas,Male,19,Electrical Engineering,89.1,4.9,9.4,4.1,99.2,Medium,Associate's Degree,67.5,Pass
STU0140,Elizabeth Martin,Female,20,Mechanical Engineering,81.2,4.3,7.8,2.3,74.3,Medium,Bachelor's Degree,54.6,Pass
STU0141,Barbara Jackson,Female,18,Business Administration,89.8,6.4,5.2,3.0,86.5,High,PhD,78.8,Pass
STU0142,William Williams,Male,19,Mechanical Engineering,93.2,3.6,6.0,2.8,81.6,Medium,Bachelor's Degree,59.6,Pass
STU0143,Mary Garcia,Female,22,Mechanical Engineering,93.1,3.5,7.8,5.4,72.4,Medium,Associate's Degree,55.9,Pass
STU0144,Mark Johnson,Male,22,Business Administration,91.2,6.5,7.5,2.4,88.3,Low,High School,60.7,Pass
STU0145,Robert Taylor,Male,18,Computer Science,79.4,3.9,7.2,6.1,85.5,Medium,High School,61.7,Pass
STU0146,Daniel Moore,Male,18,Mechanical Engineering,77.0,5.3,9.6,4.6,78.2,Low,Bachelor's Degree,54.4,Pass
STU0147,Margaret Lopez,Female,19,Mechanical Engineering,72.4,4.2,6.3,6.2,77.5,Medium,Master's Degree,51.2,Pass
STU0148,Ashley Davis,Female,21,Electrical Engineering,87.0,5.0,6.9,4.5,90.1,High,Associate's Degree,62.5,Pass
STU0149,Anthony Taylor,Male,18,Business Administration,80.4,3.5,4.6,3.2,61.5,Medium,Bachelor's Degree,40.5,Fail
STU0150,Joseph Anderson,Male,21,Information Technology,77.8,3.6,8.4,2.1,72.5,Medium,Master's Degree,48.0,Fail
STU0151,Sandra Moore,Female,20,Computer Science,77.3,3.2,6.0,3.0,82.6,Medium,Master's Degree,58.1,Pass
STU0152,Joshua Miller,Male,22,Computer Science,96.5,6.9,8.3,5.7,82.5,Medium,High School,60.7,Pass
STU0153,Robert Lopez,Male,21,Business Administration,91.5,5.4,7.1,3.4,79.8,Medium,High School,61.0,Pass
STU0154,Jennifer Martin,Female,22,Electrical Engineering,100.0,7.0,9.8,4.5,97.4,Medium,Associate's Degree,68.3,Pass
STU0155,Sandra Anderson,Female,21,Electrical Engineering,87.3,7.3,7.8,3.8,80.5,Low,Bachelor's Degree,70.3,Pass
STU0156,Anthony Miller,Male,20,Business Administration,82.6,4.0,6.6,3.9,100.0,Low,PhD,67.5,Pass
STU0157,Kimberly Lopez,Female,18,Electrical Engineering,81.7,6.9,7.5,3.9,68.0,Medium,High School,56.2,Pass
STU0158,Michelle Brown,Female,20,Computer Science,71.8,5.0,6.1,4.2,59.7,Medium,High School,43.6,Fail
STU0159,Thomas Garcia,Male,18,Computer Science,69.4,4.7,7.4,2.3,89.8,Low,Master's Degree,52.6,Pass
STU0160,Ashley Johnson,Female,18,Information Technology,87.1,7.8,6.8,3.1,77.6,Medium,Bachelor's Degree,78.4,Pass
STU0161,Joseph Hernandez,Male,22,Business Administration,72.7,6.2,6.9,4.0,73.7,Low,PhD,65.5,Pass
STU0162,Betty Taylor,Female,20,Mechanical Engineering,84.1,4.2,5.9,3.7,92.5,Low,Associate's Degree,47.3,Fail
STU0163,Jessica Moore,Female,21,Mechanical Engineering,93.2,6.1,7.4,2.8,81.3,Medium,Associate's Degree,62.1,Pass
STU0164,Emily Wilson,Female,20,Information Technology,75.3,2.2,8.0,4.1,88.0,Medium,High School,46.4,Fail
STU0165,Mark Garcia,Male,22,Information Technology,100.0,5.5,5.0,2.3,80.5,Medium,High School,58.2,Pass
STU0166,Lisa Gonzalez,Female,18,Electrical Engineering,72.1,1.7,6.2,1.7,81.5,Medium,Bachelor's Degree,42.0,Fail
STU0167,James Garcia,Male,22,Information Technology,91.9,2.8,7.2,3.9,77.0,High,Associate's Degree,49.3,Fail
STU0168,Thomas Davis,Male,19,Information Technology,86.2,6.3,4.2,1.7,76.3,Medium,High School,56.2,Pass
STU0169,Christopher Jackson,Male,19,Mechanical Engineering,93.9,1.0,9.1,3.9,97.6,Low,Master's Degree,59.9,Pass
STU0170,Sarah Taylor,Female,21,Electrical Engineering,70.8,9.0,6.1,1.0,97.6,Medium,High School,72.6,Pass
STU0171,Nancy Wilson,Female,22,Information Technology,100.0,6.8,5.9,2.4,80.9,Low,Bachelor's Degree,64.5,Pass
STU0172,Mark Thomas,Male,21,Information Technology,80.2,1.0,6.8,3.0,76.4,High,Associate's Degree,43.1,Fail
STU0173,Michelle Smith,Female,21,Electrical Engineering,88.8,10.0,7.2,1.1,100.0,Low,Master's Degree,81.4,Pass
STU0174,Charles Davis,Male,19,Business Administration,96.4,10.0,6.1,2.9,81.6,Medium,High School,72.4,Pass
STU0175,Emily Smith,Female,21,Electrical Engineering,76.0,4.6,8.2,5.3,72.6,Low,Bachelor's Degree,55.8,Pass
STU0176,John Smith,Male,19,Mechanical Engineering,90.3,3.0,7.5,1.6,86.8,High,High School,48.3,Fail
STU0177,Mary Rodriguez,Female,18,Business Administration,74.3,8.7,6.0,3.0,100.0,Medium,Associate's Degree,74.1,Pass
STU0178,Matthew Smith,Male,22,Computer Science,96.0,4.2,6.4,6.1,85.0,High,Bachelor's Degree,62.8,Pass
STU0179,Betty Martin,Female,21,Electrical Engineering,74.4,5.4,5.2,1.9,93.1,Low,High School,54.0,Pass
STU0180,Richard Johnson,Male,19,Mechanical Engineering,82.4,7.7,5.5,5.6,76.4,Low,Associate's Degree,62.1,Pass
STU0181,David Miller,Male,20,Business Administration,85.1,4.7,7.5,3.1,87.0,Low,Master's Degree,62.9,Pass
STU0182,Anthony Moore,Male,21,Electrical Engineering,89.8,4.5,6.0,3.7,80.3,High,Master's Degree,60.4,Pass
STU0183,Margaret Johnson,Female,18,Information Technology,100.0,2.2,9.2,5.4,100.0,High,High School,53.5,Pass
STU0184,Karen Lopez,Female,18,Electrical Engineering,77.5,3.6,7.1,2.8,96.9,Low,High School,60.0,Pass
STU0185,Steven Davis,Male,20,Computer Science,93.4,4.4,5.4,4.4,100.0,Low,High School,61.5,Pass
STU0186,Lisa Williams,Female,19,Electrical Engineering,100.0,2.3,5.6,4.8,75.8,Medium,High School,59.8,Pass
STU0187,Barbara Rodriguez,Female,21,Business Administration,83.7,2.5,8.3,2.5,80.9,Low,PhD,51.3,Pass
STU0188,Barbara Rodriguez,Female,19,Business Administration,76.5,5.1,6.9,2.4,86.3,Low,Bachelor's Degree,55.3,Pass
STU0189,Susan Rodriguez,Female,18,Electrical Engineering,64.7,1.0,8.2,3.2,69.3,Low,Bachelor's Degree,36.8,Fail
STU0190,Paul Lopez,Male,19,Business Administration,100.0,3.1,6.6,3.2,85.0,Low,PhD,61.9,Pass
STU0191,Joseph Davis,Male,18,Information Technology,79.6,9.3,6.3,1.9,97.2,Low,Bachelor's Degree,79.7,Pass
STU0192,Emily Martin,Female,19,Electrical Engineering,72.0,4.2,8.3,2.5,75.3,Low,Bachelor's Degree,54.0,Pass
STU0193,Margaret Miller,Female,20,Information Technology,68.4,4.0,6.0,1.0,73.0,Medium,Associate's Degree,50.5,Pass
STU0194,Lisa Martin,Female,22,Information Technology,72.0,4.2,7.6,3.0,73.1,High,Associate's Degree,59.9,Pass
STU0195,Donald Brown,Male,20,Mechanical Engineering,91.2,4.3,6.7,4.8,70.4,Medium,Bachelor's Degree,61.1,Pass
STU0196,David Williams,Male,20,Electrical Engineering,92.6,6.3,8.1,1.0,95.0,Medium,High School,75.6,Pass
STU0197,Sarah Martinez,Female,22,Business Administration,88.5,6.1,9.2,2.8,78.5,Low,Associate's Degree,46.0,Fail
STU0198,Sandra Hernandez,Female,22,Information Technology,83.3,4.1,6.5,7.2,74.3,Medium,High School,49.2,Fail
STU0199,Emily Lopez,Female,21,Mechanical Engineering,69.5,4.5,6.3,3.5,86.1,Medium,High School,46.9,Fail
STU0200,Nancy Gonzalez,Female,21,Electrical Engineering,74.7,7.9,7.8,5.5,85.6,Medium,Bachelor's Degree,75.1,Pass
STU0201,Betty Jackson,Female,20,Electrical Engineering,70.9,1.7,5.7,2.0,72.4,Low,Bachelor's Degree,26.1,Fail
STU0202,Andrew Wilson,Male,20,Computer Science,87.7,4.9,8.9,4.2,92.1,High,Associate's Degree,71.1,Pass
STU0203,Michael Gonzalez,Male,18,Computer Science,71.4,5.3,8.7,1.7,76.4,Low,Associate's Degree,47.0,Fail
STU0204,Jessica Jackson,Female,18,Information Technology,74.9,3.3,5.8,4.1,58.4,Medium,Bachelor's Degree,35.9,Fail
STU0205,Nancy Moore,Female,21,Computer Science,80.2,4.7,5.1,4.8,96.0,High,High School,59.5,Pass
STU0206,David Moore,Male,21,Information Technology,65.3,3.0,5.6,4.4,70.1,Medium,Bachelor's Degree,39.5,Fail
STU0207,Andrew Jones,Male,18,Business Administration,82.5,6.4,5.6,3.0,77.9,Medium,Bachelor's Degree,69.9,Pass
STU0208,Sarah Williams,Female,18,Information Technology,80.9,2.1,8.0,3.9,72.5,High,High School,52.6,Pass
STU0209,Charles Jackson,Male,19,Computer Science,93.8,7.3,8.9,3.9,88.4,Medium,Bachelor's Degree,68.9,Pass
STU0210,Robert Anderson,Male,19,Business Administration,73.8,4.8,7.1,4.5,79.1,Low,Bachelor's Degree,58.9,Pass
STU0211,Mary Miller,Female,18,Computer Science,69.0,4.0,6.7,3.3,90.0,High,High School,52.4,Pass
STU0212,Nancy Taylor,Female,19,Information Technology,78.3,2.8,7.4,4.9,96.6,Low,High School,47.7,Fail
STU0213,Michelle Jones,Female,22,Mechanical Engineering,71.0,7.3,6.0,5.7,77.6,High,PhD,71.4,Pass
STU0214,Michael Lopez,Male,21,Electrical Engineering,82.4,3.6,8.3,3.0,72.3,Low,High School,52.3,Pass
STU0215,Michelle Moore,Female,21,Computer Science,63.4,2.4,7.5,3.6,72.2,Medium,Master's Degree,44.5,Fail
